_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
1,,28,457,4.0,3.0,4.0,04/03/2019,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,18,4.0,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4365723,71.0,4.0,2350  DUNDAS ST W,4.0,,04,4.0,1976.0,2018.0
2,,4,15,,3.0,3.0,05/24/2018,4.0,4.0,5.0,4.0,,5.0,4.0,3.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4364249,77.0,3.0,9  STAG HILL DR ,4.0,,19,4.0,1953.0,2018.0
3,,3,26,,3.0,3.0,07/11/2018,4.0,3.0,4.0,3.0,,5.0,4.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4408585,71.0,3.0,130  MACPHERSON AVE ,3.0,,11,4.0,1948.0,2018.0
4,,3,10,,4.0,4.0,01/03/2018,4.0,3.0,4.0,3.0,,5.0,4.0,4.0,4.0,13,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4288126,78.0,4.0,1339  KING ST W,4.0,,04,4.0,1920.0,2017.0
5,5.0,29,272,5.0,5.0,5.0,01/05/2018,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4288282,98.0,5.0,2  VENA WAY ,5.0,,07,5.0,2017.0,2018.0
6,,3,12,,4.0,4.0,03/15/2019,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4245705,76.0,4.0,359  KIPLING AVE ,4.0,4.0,03,4.0,1967.0,2017.0
7,5.0,7,95,5.0,4.0,4.0,09/15/2017,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,17,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4232788,93.0,5.0,106  PARKWAY FOREST DR ,5.0,,17,5.0,2015.0,2017.0
8,3.0,18,287,4.0,4.0,4.0,10/04/2017,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4232789,72.0,3.0,125  PARKWAY FOREST DR ,4.0,,17,4.0,1970.0,2017.0
9,4.0,17,327,5.0,3.0,4.0,10/16/2017,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4240547,74.0,4.0,33  ORCHARD VIEW BLVD ,4.0,3.0,08,5.0,1976.0,2017.0
10,4.0,32,565,4.0,4.0,4.0,02/13/2019,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4240827,78.0,4.0,260  WELLESLEY ST E,4.0,4.0,13,3.0,1968.0,2017.0
